ID;Název;Autor;ISBN;Rok vydání;Vydavatel;Jazyk;Žánr;Počet stran;Popis
11;Stopařův průvodce Galaxií;Douglas Adams;978-80-257-0030-2;2008;Argo;Čeština;Sci-fi komedie;148;Arthur Dent unikne zkáze Země a stopuje vesmírem s ručníkem a průvodcem, který má na obálce nápis Nepropadejte panice.
12;Kdo chytá v žitě;J.D. Salinger;978-80-207-1933-0;2019;Odeon;Čeština;Román;216;Holden Caulfield bloudí New Yorkem a hledá smysl dospívání, zatímco pohrdá falší světa dospělých.
13;Zabít ptáčka;Harper Leeová;978-80-7565-538-6;2019;Jota;Čeština;Drama;344;Příběh o rasismu a ztrátě nevinnosti na americkém jihu očima malé dívky, jejíž otec obhajuje černocha.
14;Duna;Frank Herbert;978-80-7332-278-5;2016;Baronet;Čeština;Sci-fi;592;Mocenský boj o pouštní planetu Arrakis, jediný zdroj vzácného koření, které umožňuje cestování vesmírem.
15;Hobit;J.R.R. Tolkien;978-80-257-0740-0;2012;Argo;Čeština;Fantasy;260;Bilbo Pytlík je zatažen do dobrodružství s trpaslíky, aby získali zpět poklad střežený drakem Šmakem.
16;Sto roků samoty;G. G. Márquez;978-80-207-1249-2;2008;Odeon;Čeština;Magický realismus;368;Sága rodu Buendíů v mýtickém městečku Macondo, kde se prolíná realita s magií a rodinným prokletím.
17;Láska za časů cholery;G. G. Márquez;978-80-207-1909-5;2019;Odeon;Čeština;Román;392;Florentino Ariza čeká více než padesát let na svou životní lásku Ferminu, zatímco svět kolem se mění.
18;Stařec a moře;Ernest Hemingway;978-80-207-1620-9;2015;Odeon;Čeština;Novela;112;Epický souboj starého rybáře s obrovrou rybou na širém moři, symbolizující boj člověka s přírodou.
19;Na západní frontě klid;E. M. Remarque;978-80-249-4328-1;2021;Ikar;Čeština;Válečný román;192;Drcující svědectví o hrůzách první světové války očima mladého německého vojáka.
20;Anna Karenina;L. N. Tolstoj;978-80-7529-195-9;2016;Slovart;Čeština;Klasika;920;Tragický příběh vdané aristokratky, která obětuje své postavení pro spalující vášeň k důstojníkovi Vronskému.
21;Zločin a trest;F. M. Dostojevskij;978-80-207-1971-2;2020;Odeon;Čeština;Psychologický;496;Student Raskolnikov spáchá vraždu, aby otestoval svou teorii o nadlidech, a následně propadá výčitkám svědomí.
22;Mistr a Markétka;M. Bulgakov;978-80-207-1960-6;2019;Odeon;Čeština;Magický realismus;424;Ďábel navštíví stalinskou Moskvu, což spustí řadu bizarních událostí propojujících se s příběhem Piláta Pontského.
23;Lolita;Vladimir Nabokov;978-80-7432-054-4;2010;Paseka;Čeština;Román;344;Kontroverzní zpověď vzdělaného Evropana posedlého dvanáctiletou nevlastní dcerou.
24;Proměna;Franz Kafka;978-80-7287-199-4;2016;B4U;Čeština;Existenciální;80;Řehoř Samsa se jednoho rána probudí proměněný v obrovský hmyz a čelí odcizení od vlastní rodiny.
25;Proces;Franz Kafka;978-80-207-1768-8;2017;Odeon;Čeština;Existenciální;240;Josef K. je zatčen pro neznámé obvinění a vláčen absurdním byrokratickým soudním procesem.
26;Válka s Mloky;Karel Čapek;978-80-7335-519-6;2017;Leda;Čeština;Sci-fi satira;280;Lidstvo objeví inteligentní mloky a zotročí je, což nakonec vede ke zkáze pevniny a lidské civilizace.
27;R.U.R.;Karel Čapek;978-80-7491-998-4;2018;Host;Čeština;Drama;112;Divadelní hra, která dala světu slovo robot. Umělé bytosti se vzbouří proti svým lidským stvořitelům.
28;Babička;Božena Němcová;978-80-00-06283-8;2021;Albatros;Čeština;Klasika;272;Idylický obraz českého venkova a moudré ženy, která ovlivňuje osudy lidí ve svém okolí.
29;Nesnesitelná lehkost bytí;Milan Kundera;978-80-7108-281-0;2006;Atlantis;Čeština;Filozofický;344;Román o lásce a politice v období Pražského jara 1968, zkoumající tíhu a lehkost lidských rozhodnutí.
30;Žert;Milan Kundera;978-80-7108-283-4;2007;Atlantis;Čeština;Román;360;Nevinný žert na pohlednici zničí život mladého studenta v komunistickém Československu 50. let.
31;Jméno růže;Umberto Eco;978-80-257-1335-7;2014;Argo;Čeština;Historický thriller;560;Detektivní příběh ze středověkého kláštera, kde mnich Vilém z Baskervillu pátrá po sériovém vrahovi.
32;451 stupňů Fahrenheita;Ray Bradbury;978-80-7217-640-2;2009;Plus;Čeština;Sci-fi;160;Vize budoucnosti, kde hasiči nezhasínají oheň, ale pálí knihy, aby potlačili svobodné myšlení.
33;Kmotr;Mario Puzo;978-80-242-4521-7;2014;Knižní klub;Čeština;Krimi;408;Sága mafiánské rodiny Corleone, která odhaluje svět organizovaného zločinu v USA.
34;Forrest Gump;Winston Groom;978-80-7335-189-1;2009;Leda;Čeština;Humoristický;192;Jednoduchý muž s dobrým srdcem se stane klíčovým aktérem nejdůležitějších událostí americké historie.
35;Schindlerův seznam;Thomas Keneally;978-80-7593-016-2;2018;Pavel Dobrovský;Čeština;Válečný;448;Skutečný příběh Oskara Schindlera, který během holocaustu zachránil tisíce židů ve své továrně.
36;Deník Anny Frankové;Anne Franková;978-80-7491-945-8;2017;Triáda;Čeština;Biografie;304;Autentické zápisky židovské dívky, která se dva roky skrývala před nacisty v tajném bytě v Amsterdamu.
37;Pipi Dlouhá punčocha;Astrid Lindgrenová;978-80-00-04374-5;2016;Albatros;Čeština;Pro děti;184;Příběhy neobyčejně silné a samostatné dívky, která žije sama ve vile Vilekule se svými zvířaty.
38;Alenka v říši divů;Lewis Carroll;978-80-00-05886-2;2020;Albatros;Čeština;Fantasy;144;Alenka spadne do králičí nory a ocitne se v absurdním světě plném bizarních postav a hádanek.
39;Hra o trůny;G. R. R. Martin;978-80-257-2591-6;2018;Argo;Čeština;Fantasy;848;Mocenské intriky šlechtických rodů Západozemí bojujících o Železný trůn, zatímco na severu se probouzí zima.
40;Osvícení;Stephen King;978-80-7306-654-2;2014;Pavel Dobrovský;Čeština;Horor;472;Spisovatel Jack Torrance přijímá místo správce v horském hotelu, kde ho temné síly dovedou k šílenství.
41;Da Vinciho kód;Dan Brown;978-80-257-0036-4;2008;Argo;Čeština;Thriller;512;Symbololog Robert Langdon odkrývá prastaré tajemství církve ukryté v dílech Leonarda da Vinciho.
42;Myšlení, rychlé a pomalé;Daniel Kahneman;978-80-87270-42-4;2012;Jan Melvil;Čeština;Psychologie;544;Nobelista vysvětluje dva systémy našeho myšlení – jeden rychlý a intuitivní, druhý pomalý a logický.
43;Bohatý táta, chudý táta;Robert T. Kiyosaki;978-80-7349-536-6;2018;Pragma;Čeština;Osobní rozvoj;216;Kniha o finanční gramotnosti, která porovnává myšlení bohatých a chudých lidí ohledně peněz.
44;Čtyři dohody;Don Miguel Ruiz;978-80-7205-820-3;2001;Pragma;Čeština;Esoterika;138;Praktický průvodce osobní svobodou založený na staré toltécké moudrosti.
45;Mnich, který prodal své ferrari;Robin Sharma;978-80-88878-43-8;2010;Rybka;Čeština;Osobní rozvoj;214;Příběh právníka, který po infarktu odchází do Himálaje, aby našel smysl života a rovnováhu.
46;Saturnin;Zdeněk Jirotka;978-80-7243-820-3;2016;Šulc-Švarc;Čeština;Humor;224;Sluha Saturnin svými ztřeštěnými nápady převrací život svého pána i jeho okolí vzhůru nohama.
47;Bídníci;Victor Hugo;978-80-207-1335-2;2011;Odeon;Čeština;Historický;1344;Monumentální román o bývalém galejníkovi Jeanu Valjeanovi, jeho cestě k vykoupení a sociální nespravedlnosti.
48;Hlava 22;Joseph Heller;978-80-7306-258-2;2006;BB/art;Čeština;Válečná satira;480;Absurdní příběhy amerických letců za 2. světové války, kteří nemohou uniknout byrokratickému paradoxu.
49;Farma zvířat;George Orwell;978-80-257-1363-0;2015;Argo;Čeština;Alegorie;104;Zvířata na farmě se vzbouří proti lidem, ale jejich revoluce se postupně mění v novou tyranii prasat.
50;Mechanický pomeranč;Anthony Burgess;978-80-207-1675-9;2016;Odeon;Čeština;Sci-fi;200;Násilnický mladík Alex je podroben experimentální léčbě na vymýcení zla, která ho zbaví svobodné vůle.
